,id,tip_ponude,tip_nekretnine,broj_soba,spratnost,sprat,povrsina_placa,grejanje,grad,lokacija,mikrolokacija,kvadratura,parking,uknjizenost,terasa,lift,tip_objekta,cena,x_pos,y_pos,udaljenost_od_centra,tip_objekta_klasa
0,68933,Prodaja,Stan,2,3,1,0,,Beograd,Opština Vračar,Neimar,58,,DA,,,Stara gradnja,142000,44.7925,20.4679,0.03474953237095912,2.0
1,68934,Prodaja,Stan,2,3,1,0,CG,Beograd,Opština Zvezdara,Učiteljsko naselje,60,DA,,DA,DA,Novogradnja,103988,44.789613,20.50806,0.06509788912860366,1.0
5,68938,Prodaja,Stan,5,7,7,0,CG,Beograd,Opština Zvezdara,Cvetkova pijaca,143,,,DA,DA,Novogradnja,284700,44.791475,20.510572,0.06632649100472746,1.0
6,68939,Prodaja,Stan,1,5,1,0,TA,Beograd,Opština Novi Beograd,Blok 60,37,,DA,,,Stara gradnja,61000,44.812425,20.385521,0.06801998137312347,2.0
7,68940,Prodaja,Stan,4,5,1,0,CG,Beograd,Opština Vračar,Crveni krst,109,DA,DA,DA,DA,Novogradnja,196000,44.793645,20.491945,0.04951092859157794,1.0
8,68941,Prodaja,Stan,1,4,0,0,Toplotne pumpe,Beograd,Opština Voždovac,Lekino brdo,40,,DA,DA,,Novogradnja,85000,44.79106,20.483143,0.044701727584064585,1.0
9,68942,Prodaja,Stan,1,7,1,0,CG,Beograd,Opština Novi Beograd,Blok 67a (A blok),33,,,,DA,Novogradnja,106000,44.806744,20.400063,0.05520545539165593,1.0
11,68944,Prodaja,Stan,3,6,1,0,EG,Beograd,Opština Stari grad,Dorćol,105,,DA,,DA,Novogradnja,288750,44.8225,20.4571,0.004657252408879282,1.0
12,68945,Prodaja,Stan,3,10,7,0,CG,Beograd,Opština Novi Beograd,Hotel Hyatt,90,DA,DA,DA,DA,Novogradnja,315000,44.809441,20.434579,0.022979893863987078,1.0
14,68947,Prodaja,Stan,2,4,2,0,EG,Beograd,Opština Vračar,Hram svetog Save,66,,DA,DA,,Stara gradnja,212100,44.799835,20.467871,0.028332696059499642,2.0
15,68948,Prodaja,Stan,3,3,1,0,EG,Beograd,Opština Voždovac,Hotel M,68,,DA,DA,DA,Novogradnja,150000,44.7681,20.4785,0.061336530713764735,1.0
16,68949,Prodaja,Stan,3,3,1,0,CG,Beograd,Opština Zvezdara,Vukov Spomenik,72,,DA,,,Stara gradnja,142000,44.804766,20.479864,0.0331937050056181,2.0
17,68950,Prodaja,Stan,2,3,1,0,CG,Beograd,Opština Zvezdara,Učiteljsko naselje,55,DA,,DA,DA,Novogradnja,95360,44.789415,20.508098,0.06523411093132402,1.0
18,68951,Prodaja,Stan,2,4,3,0,CG,Beograd,Opština Novi Beograd,Blok 61,53,,DA,DA,,Stara gradnja,110000,44.802,20.3711,0.08433943324448195,2.0
19,68952,Prodaja,Stan,3,4,1,0,EG,Beograd,Opština Zemun,Altina,57,DA,,DA,,Novogradnja,62700,44.850344,20.35916,0.0971644808353344,1.0
21,68956,Prodaja,Stan,4,6,5,0,EG,Beograd,Opština Vračar,Neimar,86,DA,,DA,DA,Novogradnja,229000,44.79286,20.472605,0.03676010915381436,1.0
22,68957,Prodaja,Stan,5,6,5,0,CG,Beograd,Opština Vračar,Neimar,153,DA,,DA,DA,Novogradnja,382400,44.792815,20.472611,0.03680113240105953,1.0
23,68958,Prodaja,Stan,3,7,1,0,CG,Beograd,Opština Novi Beograd,Stari Merkator,64,DA,DA,,DA,Stara gradnja,160000,44.8309,20.4096,0.04359862383149151,2.0
24,68959,Prodaja,Stan,2,9,7,0,CG,Beograd,Opština Novi Beograd,Hotel Jugoslavija,49,,DA,DA,DA,Stara gradnja,107000,44.8329,20.4045,0.04897193073588329,2.0
25,68960,Prodaja,Stan,3,5,2,0,CG,Beograd,Opština Stari grad,Kalemegdan,68,,DA,,DA,Stara gradnja,204000,44.8237,20.4526,0.0,2.0
26,68961,Prodaja,Stan,2,5,4,0,CG,Beograd,Opština Zvezdara,Mirijevo,71,,DA,DA,DA,Stara gradnja,75000,44.790244,20.547905,0.10100666790365882,2.0
28,68963,Prodaja,Stan,1,10,5,0,CG,Beograd,Opština Zvezdara,Mirijevo,41,,DA,DA,DA,Stara gradnja,52000,44.789312,20.531105,0.08570629830415011,2.0
29,68964,Prodaja,Stan,2,13,3,0,CG,Beograd,Opština Savski venac,Beograd na vodi,53,,,,,Novogradnja,150888,44.808969,20.449826,0.014989911173857295,1.0
32,68967,Prodaja,Stan,1,7,0,0,CG,Beograd,Opština Vračar,Bulevar kralja Aleksandra,40,DA,DA,DA,DA,Stara gradnja,110000,44.807245,20.470245,0.024127019086492063,2.0
33,68968,Prodaja,Stan,3,4,1,0,Toplotne pumpe,Beograd,Opština Zvezdara,Cvetkova pijaca,56,,DA,DA,DA,Novogradnja,113000,44.791376,20.509592,0.06552044749542155,1.0
34,68969,Prodaja,Stan,2,5,4,0,CG,Beograd,Opština Novi Beograd,Paviljoni,65,,DA,DA,DA,Stara gradnja,110000,44.833518,20.401305,0.052226144305317794,2.0
35,68970,Prodaja,Stan,3,4,1,0,Norveški radijatori,Beograd,Opština Palilula,Botanička bašta,68,,DA,DA,,Stara gradnja,145000,44.812771,20.478858,0.028441617482133832,2.0
